image_names,Count_proplatelets,timepoints
180731_MS_C6_1-0000.tif,0.0,0000
180731_MS_C6_1-0001.tif,1.0,0001
180731_MS_C6_1-0002.tif,1.0,0002
180731_MS_C6_1-0003.tif,0.0,0003
180731_MS_C6_1-0004.tif,0.0,0004
180731_MS_C6_1-0005.tif,0.0,0005
180731_MS_C6_1-0006.tif,1.0,0006
180731_MS_C6_1-0007.tif,0.0,0007
180731_MS_C6_1-0008.tif,0.0,0008
180731_MS_C6_1-0009.tif,1.0,0009
180731_MS_C6_1-0010.tif,1.0,0010
180731_MS_C6_1-0011.tif,0.0,0011
180731_MS_C6_1-0012.tif,0.0,0012
180731_MS_C6_1-0013.tif,0.0,0013
180731_MS_C6_1-0014.tif,2.0,0014
180731_MS_C6_1-0015.tif,1.0,0015
180731_MS_C6_1-0016.tif,2.0,0016
180731_MS_C6_1-0017.tif,0.0,0017
180731_MS_C6_1-0018.tif,0.0,0018
180731_MS_C6_1-0019.tif,0.0,0019
180731_MS_C6_1-0020.tif,0.0,0020
180731_MS_C6_1-0021.tif,1.0,0021
180731_MS_C6_1-0022.tif,1.0,0022
180731_MS_C6_1-0023.tif,2.0,0023
180731_MS_C6_1-0024.tif,0.0,0024
180731_MS_C6_1-0025.tif,1.0,0025
180731_MS_C6_1-0026.tif,1.0,0026
180731_MS_C6_1-0027.tif,1.0,0027
180731_MS_C6_1-0028.tif,3.0,0028
180731_MS_C6_1-0029.tif,1.0,0029
180731_MS_C6_1-0030.tif,1.0,0030
180731_MS_C6_1-0031.tif,1.0,0031
180731_MS_C6_1-0032.tif,0.0,0032
180731_MS_C6_1-0033.tif,0.0,0033
180731_MS_C6_1-0034.tif,0.0,0034
180731_MS_C6_1-0035.tif,0.0,0035
180731_MS_C6_1-0036.tif,0.0,0036
180731_MS_C6_1-0037.tif,0.0,0037
180731_MS_C6_1-0038.tif,3.0,0038
180731_MS_C6_1-0039.tif,2.0,0039
180731_MS_C6_1-0040.tif,1.0,0040
180731_MS_C6_1-0041.tif,1.0,0041
180731_MS_C6_2-0000.tif,0.0,0000
180731_MS_C6_2-0001.tif,0.0,0001
180731_MS_C6_2-0002.tif,0.0,0002
180731_MS_C6_2-0003.tif,0.0,0003
180731_MS_C6_2-0004.tif,0.0,0004
180731_MS_C6_2-0005.tif,0.0,0005
180731_MS_C6_2-0006.tif,0.0,0006
180731_MS_C6_2-0007.tif,1.0,0007
180731_MS_C6_2-0008.tif,0.0,0008
180731_MS_C6_2-0009.tif,0.0,0009
180731_MS_C6_2-0010.tif,0.0,0010
180731_MS_C6_2-0011.tif,0.0,0011
180731_MS_C6_2-0012.tif,0.0,0012
180731_MS_C6_2-0013.tif,0.0,0013
180731_MS_C6_2-0014.tif,0.0,0014
180731_MS_C6_2-0015.tif,1.0,0015
180731_MS_C6_2-0016.tif,0.0,0016
180731_MS_C6_2-0017.tif,0.0,0017
180731_MS_C6_2-0018.tif,1.0,0018
180731_MS_C6_2-0019.tif,0.0,0019
180731_MS_C6_2-0020.tif,0.0,0020
180731_MS_C6_2-0021.tif,0.0,0021
180731_MS_C6_2-0022.tif,0.0,0022
180731_MS_C6_2-0023.tif,0.0,0023
180731_MS_C6_2-0024.tif,0.0,0024
180731_MS_C6_2-0025.tif,0.0,0025
180731_MS_C6_2-0026.tif,1.0,0026
180731_MS_C6_2-0027.tif,2.0,0027
180731_MS_C6_2-0028.tif,2.0,0028
180731_MS_C6_2-0029.tif,0.0,0029
180731_MS_C6_2-0030.tif,1.0,0030
180731_MS_C6_2-0031.tif,2.0,0031
180731_MS_C6_2-0032.tif,0.0,0032
180731_MS_C6_2-0033.tif,0.0,0033
180731_MS_C6_2-0034.tif,3.0,0034
180731_MS_C6_2-0035.tif,2.0,0035
180731_MS_C6_2-0036.tif,3.0,0036
180731_MS_C6_2-0037.tif,2.0,0037
180731_MS_C6_2-0038.tif,4.0,0038
180731_MS_C6_2-0039.tif,1.0,0039
180731_MS_C6_2-0040.tif,0.0,0040
180731_MS_C6_2-0041.tif,0.0,0041
180731_MS_C6_3-0000.tif,0.0,0000
180731_MS_C6_3-0001.tif,1.0,0001
180731_MS_C6_3-0002.tif,1.0,0002
180731_MS_C6_3-0003.tif,0.0,0003
180731_MS_C6_3-0004.tif,0.0,0004
180731_MS_C6_3-0005.tif,0.0,0005
180731_MS_C6_3-0006.tif,0.0,0006
180731_MS_C6_3-0007.tif,0.0,0007
180731_MS_C6_3-0008.tif,0.0,0008
180731_MS_C6_3-0009.tif,0.0,0009
180731_MS_C6_3-0010.tif,1.0,0010
180731_MS_C6_3-0011.tif,0.0,0011
180731_MS_C6_3-0012.tif,0.0,0012
180731_MS_C6_3-0013.tif,0.0,0013
180731_MS_C6_3-0014.tif,2.0,0014
180731_MS_C6_3-0015.tif,1.0,0015
180731_MS_C6_3-0016.tif,0.0,0016
180731_MS_C6_3-0017.tif,2.0,0017
180731_MS_C6_3-0018.tif,0.0,0018
180731_MS_C6_3-0019.tif,0.0,0019
180731_MS_C6_3-0020.tif,0.0,0020
180731_MS_C6_3-0021.tif,2.0,0021
180731_MS_C6_3-0022.tif,2.0,0022
180731_MS_C6_3-0023.tif,0.0,0023
180731_MS_C6_3-0024.tif,0.0,0024
180731_MS_C6_3-0025.tif,0.0,0025
180731_MS_C6_3-0026.tif,0.0,0026
180731_MS_C6_3-0027.tif,1.0,0027
180731_MS_C6_3-0028.tif,4.0,0028
180731_MS_C6_3-0029.tif,3.0,0029
180731_MS_C6_3-0030.tif,1.0,0030
180731_MS_C6_3-0031.tif,0.0,0031
180731_MS_C6_3-0032.tif,0.0,0032
180731_MS_C6_3-0033.tif,2.0,0033
180731_MS_C6_3-0034.tif,2.0,0034
180731_MS_C6_3-0035.tif,0.0,0035
180731_MS_C6_3-0036.tif,1.0,0036
180731_MS_C6_3-0037.tif,2.0,0037
180731_MS_C6_3-0038.tif,2.0,0038
180731_MS_C6_3-0039.tif,3.0,0039
180731_MS_C6_3-0040.tif,2.0,0040
180731_MS_C6_3-0041.tif,1.0,0041
180731_MS_C6_4-0000.tif,2.0,0000
180731_MS_C6_4-0001.tif,0.0,0001
180731_MS_C6_4-0002.tif,0.0,0002
180731_MS_C6_4-0003.tif,0.0,0003
180731_MS_C6_4-0004.tif,0.0,0004
180731_MS_C6_4-0005.tif,1.0,0005
180731_MS_C6_4-0006.tif,0.0,0006
180731_MS_C6_4-0007.tif,1.0,0007
180731_MS_C6_4-0008.tif,0.0,0008
180731_MS_C6_4-0009.tif,0.0,0009
180731_MS_C6_4-0010.tif,0.0,0010
180731_MS_C6_4-0011.tif,0.0,0011
180731_MS_C6_4-0012.tif,1.0,0012
180731_MS_C6_4-0013.tif,1.0,0013
180731_MS_C6_4-0014.tif,1.0,0014
180731_MS_C6_4-0015.tif,2.0,0015
180731_MS_C6_4-0016.tif,0.0,0016
180731_MS_C6_4-0017.tif,1.0,0017
180731_MS_C6_4-0018.tif,1.0,0018
180731_MS_C6_4-0019.tif,1.0,0019
180731_MS_C6_4-0020.tif,1.0,0020
180731_MS_C6_4-0021.tif,1.0,0021
180731_MS_C6_4-0022.tif,2.0,0022
180731_MS_C6_4-0023.tif,2.0,0023
180731_MS_C6_4-0024.tif,0.0,0024
180731_MS_C6_4-0025.tif,1.0,0025
180731_MS_C6_4-0026.tif,3.0,0026
180731_MS_C6_4-0027.tif,2.0,0027
180731_MS_C6_4-0028.tif,0.0,0028
180731_MS_C6_4-0029.tif,0.0,0029
180731_MS_C6_4-0030.tif,1.0,0030
180731_MS_C6_4-0031.tif,0.0,0031
180731_MS_C6_4-0032.tif,1.0,0032
180731_MS_C6_4-0033.tif,0.0,0033
180731_MS_C6_4-0034.tif,0.0,0034
180731_MS_C6_4-0035.tif,0.0,0035
180731_MS_C6_4-0036.tif,0.0,0036
180731_MS_C6_4-0037.tif,2.0,0037
180731_MS_C6_4-0038.tif,2.0,0038
180731_MS_C6_4-0039.tif,1.0,0039
180731_MS_C6_4-0040.tif,4.0,0040
180731_MS_C6_4-0041.tif,1.0,0041
180731_MS_C6_5-0000.tif,3.0,0000
180731_MS_C6_5-0001.tif,1.0,0001
180731_MS_C6_5-0002.tif,1.0,0002
180731_MS_C6_5-0003.tif,1.0,0003
180731_MS_C6_5-0004.tif,2.0,0004
180731_MS_C6_5-0005.tif,1.0,0005
180731_MS_C6_5-0006.tif,1.0,0006
180731_MS_C6_5-0007.tif,1.0,0007
180731_MS_C6_5-0008.tif,2.0,0008
180731_MS_C6_5-0009.tif,1.0,0009
180731_MS_C6_5-0010.tif,2.0,0010
180731_MS_C6_5-0011.tif,2.0,0011
180731_MS_C6_5-0012.tif,2.0,0012
180731_MS_C6_5-0013.tif,0.0,0013
180731_MS_C6_5-0014.tif,2.0,0014
180731_MS_C6_5-0015.tif,2.0,0015
180731_MS_C6_5-0016.tif,2.0,0016
180731_MS_C6_5-0017.tif,2.0,0017
180731_MS_C6_5-0018.tif,1.0,0018
180731_MS_C6_5-0019.tif,2.0,0019
180731_MS_C6_5-0020.tif,3.0,0020
180731_MS_C6_5-0021.tif,3.0,0021
180731_MS_C6_5-0022.tif,3.0,0022
180731_MS_C6_5-0023.tif,0.0,0023
180731_MS_C6_5-0024.tif,0.0,0024
180731_MS_C6_5-0025.tif,4.0,0025
180731_MS_C6_5-0026.tif,2.0,0026
180731_MS_C6_5-0027.tif,4.0,0027
180731_MS_C6_5-0028.tif,2.0,0028
180731_MS_C6_5-0029.tif,0.0,0029
180731_MS_C6_5-0030.tif,0.0,0030
180731_MS_C6_5-0031.tif,1.0,0031
180731_MS_C6_5-0032.tif,1.0,0032
180731_MS_C6_5-0033.tif,3.0,0033
180731_MS_C6_5-0034.tif,0.0,0034
180731_MS_C6_5-0035.tif,4.0,0035
180731_MS_C6_5-0036.tif,1.0,0036
180731_MS_C6_5-0037.tif,4.0,0037
180731_MS_C6_5-0038.tif,5.0,0038
180731_MS_C6_5-0039.tif,3.0,0039
180731_MS_C6_5-0040.tif,1.0,0040
180731_MS_C6_5-0041.tif,0.0,0041
180731_MS_C6_6-0000.tif,3.0,0000
180731_MS_C6_6-0001.tif,4.0,0001
180731_MS_C6_6-0002.tif,4.0,0002
180731_MS_C6_6-0003.tif,3.0,0003
180731_MS_C6_6-0004.tif,1.0,0004
180731_MS_C6_6-0005.tif,5.0,0005
180731_MS_C6_6-0006.tif,3.0,0006
180731_MS_C6_6-0007.tif,4.0,0007
180731_MS_C6_6-0008.tif,1.0,0008
180731_MS_C6_6-0009.tif,2.0,0009
180731_MS_C6_6-0010.tif,3.0,0010
180731_MS_C6_6-0011.tif,2.0,0011
180731_MS_C6_6-0012.tif,3.0,0012
180731_MS_C6_6-0013.tif,2.0,0013
180731_MS_C6_6-0014.tif,2.0,0014
180731_MS_C6_6-0015.tif,4.0,0015
180731_MS_C6_6-0016.tif,1.0,0016
180731_MS_C6_6-0017.tif,2.0,0017
180731_MS_C6_6-0018.tif,1.0,0018
180731_MS_C6_6-0019.tif,3.0,0019
180731_MS_C6_6-0020.tif,1.0,0020
180731_MS_C6_6-0021.tif,2.0,0021
180731_MS_C6_6-0022.tif,1.0,0022
180731_MS_C6_6-0023.tif,5.0,0023
180731_MS_C6_6-0024.tif,1.0,0024
180731_MS_C6_6-0025.tif,3.0,0025
180731_MS_C6_6-0026.tif,2.0,0026
180731_MS_C6_6-0027.tif,2.0,0027
180731_MS_C6_6-0028.tif,2.0,0028
180731_MS_C6_6-0029.tif,2.0,0029
180731_MS_C6_6-0030.tif,4.0,0030
180731_MS_C6_6-0031.tif,3.0,0031
180731_MS_C6_6-0032.tif,3.0,0032
180731_MS_C6_6-0033.tif,2.0,0033
180731_MS_C6_6-0034.tif,6.0,0034
180731_MS_C6_6-0035.tif,1.0,0035
180731_MS_C6_6-0036.tif,3.0,0036
180731_MS_C6_6-0037.tif,1.0,0037
180731_MS_C6_6-0038.tif,8.0,0038
180731_MS_C6_6-0039.tif,2.0,0039
180731_MS_C6_6-0040.tif,3.0,0040
180731_MS_C6_6-0041.tif,3.0,0041
180731_MS_C6_7-0000.tif,0.0,0000
180731_MS_C6_7-0001.tif,1.0,0001
180731_MS_C6_7-0002.tif,0.0,0002
180731_MS_C6_7-0003.tif,1.0,0003
180731_MS_C6_7-0004.tif,1.0,0004
180731_MS_C6_7-0005.tif,0.0,0005
180731_MS_C6_7-0006.tif,0.0,0006
180731_MS_C6_7-0007.tif,0.0,0007
180731_MS_C6_7-0008.tif,0.0,0008
180731_MS_C6_7-0009.tif,0.0,0009
180731_MS_C6_7-0010.tif,1.0,0010
180731_MS_C6_7-0011.tif,0.0,0011
180731_MS_C6_7-0012.tif,1.0,0012
180731_MS_C6_7-0013.tif,1.0,0013
180731_MS_C6_7-0014.tif,1.0,0014
180731_MS_C6_7-0015.tif,0.0,0015
180731_MS_C6_7-0016.tif,2.0,0016
180731_MS_C6_7-0017.tif,0.0,0017
180731_MS_C6_7-0018.tif,2.0,0018
180731_MS_C6_7-0019.tif,0.0,0019
180731_MS_C6_7-0020.tif,2.0,0020
180731_MS_C6_7-0021.tif,2.0,0021
180731_MS_C6_7-0022.tif,0.0,0022
180731_MS_C6_7-0023.tif,1.0,0023
180731_MS_C6_7-0024.tif,3.0,0024
180731_MS_C6_7-0025.tif,1.0,0025
180731_MS_C6_7-0026.tif,1.0,0026
180731_MS_C6_7-0027.tif,1.0,0027
180731_MS_C6_7-0028.tif,1.0,0028
180731_MS_C6_7-0029.tif,1.0,0029
180731_MS_C6_7-0030.tif,0.0,0030
180731_MS_C6_7-0031.tif,2.0,0031
180731_MS_C6_7-0032.tif,2.0,0032
180731_MS_C6_7-0033.tif,3.0,0033
180731_MS_C6_7-0034.tif,0.0,0034
180731_MS_C6_7-0035.tif,0.0,0035
180731_MS_C6_7-0036.tif,0.0,0036
180731_MS_C6_7-0037.tif,0.0,0037
180731_MS_C6_7-0038.tif,1.0,0038
180731_MS_C6_7-0039.tif,0.0,0039
180731_MS_C6_7-0040.tif,1.0,0040
180731_MS_C6_7-0041.tif,1.0,0041
180731_MS_C6_8-0000.tif,0.0,0000
180731_MS_C6_8-0001.tif,0.0,0001
180731_MS_C6_8-0002.tif,0.0,0002
180731_MS_C6_8-0003.tif,0.0,0003
180731_MS_C6_8-0004.tif,0.0,0004
180731_MS_C6_8-0005.tif,0.0,0005
180731_MS_C6_8-0006.tif,0.0,0006
180731_MS_C6_8-0007.tif,1.0,0007
180731_MS_C6_8-0008.tif,3.0,0008
180731_MS_C6_8-0009.tif,2.0,0009
180731_MS_C6_8-0010.tif,0.0,0010
180731_MS_C6_8-0011.tif,0.0,0011
180731_MS_C6_8-0012.tif,1.0,0012
180731_MS_C6_8-0013.tif,0.0,0013
180731_MS_C6_8-0014.tif,1.0,0014
180731_MS_C6_8-0015.tif,4.0,0015
180731_MS_C6_8-0016.tif,1.0,0016
180731_MS_C6_8-0017.tif,3.0,0017
180731_MS_C6_8-0018.tif,1.0,0018
180731_MS_C6_8-0019.tif,4.0,0019
180731_MS_C6_8-0020.tif,4.0,0020
180731_MS_C6_8-0021.tif,1.0,0021
180731_MS_C6_8-0022.tif,2.0,0022
180731_MS_C6_8-0023.tif,2.0,0023
180731_MS_C6_8-0024.tif,0.0,0024
180731_MS_C6_8-0025.tif,2.0,0025
180731_MS_C6_8-0026.tif,3.0,0026
180731_MS_C6_8-0027.tif,2.0,0027
180731_MS_C6_8-0028.tif,3.0,0028
180731_MS_C6_8-0029.tif,5.0,0029
180731_MS_C6_8-0030.tif,2.0,0030
180731_MS_C6_8-0031.tif,5.0,0031
180731_MS_C6_8-0032.tif,6.0,0032
180731_MS_C6_8-0033.tif,2.0,0033
180731_MS_C6_8-0034.tif,0.0,0034
180731_MS_C6_8-0035.tif,0.0,0035
180731_MS_C6_8-0036.tif,0.0,0036
180731_MS_C6_8-0037.tif,0.0,0037
180731_MS_C6_8-0038.tif,0.0,0038
180731_MS_C6_8-0039.tif,0.0,0039
180731_MS_C6_8-0040.tif,3.0,0040
180731_MS_C6_8-0041.tif,2.0,0041
180731_MS_C6_9-0000.tif,1.0,0000
180731_MS_C6_9-0001.tif,1.0,0001
180731_MS_C6_9-0002.tif,1.0,0002
180731_MS_C6_9-0003.tif,1.0,0003
180731_MS_C6_9-0004.tif,1.0,0004
180731_MS_C6_9-0005.tif,1.0,0005
180731_MS_C6_9-0006.tif,1.0,0006
180731_MS_C6_9-0007.tif,0.0,0007
180731_MS_C6_9-0008.tif,2.0,0008
180731_MS_C6_9-0009.tif,1.0,0009
180731_MS_C6_9-0010.tif,0.0,0010
180731_MS_C6_9-0011.tif,1.0,0011
180731_MS_C6_9-0012.tif,1.0,0012
180731_MS_C6_9-0013.tif,3.0,0013
180731_MS_C6_9-0014.tif,2.0,0014
180731_MS_C6_9-0015.tif,4.0,0015
180731_MS_C6_9-0016.tif,2.0,0016
180731_MS_C6_9-0017.tif,0.0,0017
180731_MS_C6_9-0018.tif,0.0,0018
180731_MS_C6_9-0019.tif,0.0,0019
180731_MS_C6_9-0020.tif,1.0,0020
180731_MS_C6_9-0021.tif,2.0,0021
180731_MS_C6_9-0022.tif,0.0,0022
180731_MS_C6_9-0023.tif,1.0,0023
180731_MS_C6_9-0024.tif,0.0,0024
180731_MS_C6_9-0025.tif,2.0,0025
180731_MS_C6_9-0026.tif,2.0,0026
180731_MS_C6_9-0027.tif,0.0,0027
180731_MS_C6_9-0028.tif,0.0,0028
180731_MS_C6_9-0029.tif,3.0,0029
180731_MS_C6_9-0030.tif,1.0,0030
180731_MS_C6_9-0031.tif,2.0,0031
180731_MS_C6_9-0032.tif,2.0,0032
180731_MS_C6_9-0033.tif,0.0,0033
180731_MS_C6_9-0034.tif,1.0,0034
180731_MS_C6_9-0035.tif,4.0,0035
180731_MS_C6_9-0036.tif,0.0,0036
180731_MS_C6_9-0037.tif,1.0,0037
180731_MS_C6_9-0038.tif,7.0,0038
180731_MS_C6_9-0039.tif,1.0,0039
180731_MS_C6_9-0040.tif,3.0,0040
180731_MS_C6_9-0041.tif,4.0,0041
